date,qty,tavg,prcp,tsun,sale_percent,weather_label,sale_active
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,1.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,4.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,4.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,1.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,2.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,2.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,0.0,9.0,1.2,0.0,0.0,rain,False
