date,SKU,qty,tavg,prcp,tsun,sale_percent,weather_label,sale_active
2024-01-26,ga10143,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga1027sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9103ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9114dx,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10332,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz21012,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100183,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10312,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9109ub,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9210,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92104,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10202,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9107fz,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10283,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9312sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9107sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9101sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92076,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10293,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92072,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9312ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10201,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,92058,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9107ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9101fz,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9314dx,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9101ub,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10301,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10292,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9313ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9102sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz21032,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10261,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9106sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga1028sf,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga1021sf,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9106ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9106dx,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92062,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100172,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9102fz,4.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92074,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10291,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9102dx,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10211,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9206,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9102ub,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9107dx,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10271,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9203,3.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9101dx,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sw100171,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sw10018,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10171,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9109dx,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9317ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga1030sf,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100181,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga1016sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92054,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9312dx,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10282,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9208,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92036,1.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10311,4.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9109fz,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100182,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9105sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9103dx,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga1017sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9108ub,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10172,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9108dx,1.0,9.0,1.2,0.0,0.0,rain,False
